repetitions;time(ns)
10000;182699096
20000;248560624
30000;302232196
40000;340575128
50000;378872191
60000;413544579
70000;454033424
80000;497097753
90000;523235343
100000;547856753
110000;578632587
120000;631440215
130000;658196316
140000;686083297
150000;713353802
160000;743916962
170000;791054288
180000;834297413
190000;877165338
200000;908009797
210000;955633235
220000;1001398207
230000;1027259266
240000;1051877113
250000;1077792493
260000;1104530305
270000;1128495439
280000;1152515794
290000;1176623021
300000;1200551147
310000;1228991557
320000;1253787617
330000;1282685048
340000;1308278934
350000;1347699328
360000;1389323245
370000;1413984838
380000;1439077530
390000;1464233174
400000;1490956531
410000;1517932034
420000;1542753607
430000;1566419868
440000;1591025415
450000;1615283945
460000;1639474987
470000;1689521961
480000;1736499294
490000;1760738750
500000;1784591841
510000;1807738536
520000;1830748360
530000;1856049480
540000;1879743130
550000;1904777451
560000;1928031126
570000;1952647637
580000;1978053592
590000;2011380988
600000;2050831410
610000;2089820764
620000;2116232732
630000;2139404740
640000;2163269588
650000;2192239757
660000;2215888254
670000;2242098486
680000;2265877033
690000;2289708304
700000;2312991453
710000;2339428812
720000;2387475963
730000;2441483558
740000;2469909347
750000;2494084210
760000;2518636359
770000;2544845669
780000;2569024887
790000;2593275310
800000;2617100500
810000;2641886198
820000;2666081387
830000;2689202046
840000;2713010841
850000;2737058210
860000;2761953900
870000;2787021405
880000;2811046228
890000;2835036023
900000;2864896799
910000;2888670494
920000;2911756376
930000;2934510625
940000;2958663907
950000;2983669110
960000;3006974930
970000;3031110303
980000;3055633203
990000;3078770909
1000000;3101466398
1010000;3126417397
1020000;3152172692
1030000;3175215732
1040000;3198388954
1050000;3222985336
1060000;3246180827
1070000;3271386711
1080000;3294814587
1090000;3319863547
1100000;3343025880
1110000;3367125247
1120000;3390836927
1130000;3413941070
1140000;3436942178
1150000;3460915726
1160000;3485186731
1170000;3509426641
1180000;3533473605
1190000;3557527284
1200000;3581520899
1210000;3605342425
1220000;3629703953
1230000;3653375561
1240000;3678433684
1250000;3702515986
1260000;3727854242
1270000;3751256819
1280000;3775003301
1290000;3799221090
1300000;3822732096
1310000;3845855825
1320000;3871172199
1330000;3894522233
1340000;3918692997
1350000;3941703989
1360000;3965965022
1370000;3990224633
1380000;4013499537
1390000;4039374794
1400000;4062625508
1410000;4085696772
1420000;4110208392
1430000;4134654295
1440000;4157672874
1450000;4182102791
1460000;4206349235
1470000;4230347307
1480000;4253408771
1490000;4284211008
1500000;4308402569
1510000;4333006176
1520000;4358374096
1530000;4382026857
1540000;4405609282
1550000;4431256259
1560000;4457560815
1570000;4480847498
1580000;4503937254
1590000;4527137747
1600000;4552422580
1610000;4576243607
1620000;4602849976
1630000;4627844187
1640000;4651666730
1650000;4675836236
1660000;4700185367
1670000;4725387302
1680000;4748580954
1690000;4771923698
1700000;4796947349
1710000;4821272477
1720000;4844533984
1730000;4868935832
1740000;4892537302
1750000;4916238419
1760000;4939769239
1770000;4964889954
1780000;4988154637
1790000;5011837097
1800000;5035382059
1810000;5059425963
1820000;5082536632
1830000;5105671321
1840000;5129368570
1850000;5154424207
1860000;5177441155
1870000;5200774343
1880000;5224525661
1890000;5247666059
1900000;5276647173
1910000;5300124920
1920000;5323977883
1930000;5347267830
1940000;5372839618
1950000;5396234471
1960000;5419430918
1970000;5443751883
1980000;5469452261
1990000;5493641204
