repetitions;time(ns)
10000;12652070840
20000;22367754134
30000;32450404924
40000;42275885037
50000;52093132270
60000;61902603928
70000;71715183789
80000;81524527930
90000;91519398346
100000;101351385689
110000;111150136301
120000;120928980541
130000;130714871541
140000;140540468835
150000;150533337472
160000;160189595852
170000;169935801448
180000;179698068095
190000;189389247012
200000;199139157352
210000;209139092016
220000;218780269339
230000;228570908057
240000;238463318396
250000;248239236965
260000;258050719221
270000;267943491010
280000;277812043041
290000;287591253997
300000;297350912051
310000;307074255284
320000;316805643324
330000;326625797764
340000;336955875217
350000;346916819751
360000;356676850215
370000;366442895453
380000;376161296758
390000;386006839284
400000;395820484137
410000;405613873765
420000;415388597124
430000;425215701783
440000;434983455744
450000;444750932459
460000;454677122992
470000;464495664023
480000;474234085699
490000;484252052439
500000;494033277054
510000;503909777989
520000;513749134851
530000;523516918050
540000;533245462929
550000;543001288611
560000;552703708200
570000;562392602983
580000;572335064829
590000;582142072643
600000;591849782380
610000;601585225099
620000;611330455252
630000;621138512485
640000;631369716782
650000;641341023737
660000;651141072142
670000;660887209629
680000;670666332827
690000;680418587595
700000;690407123432
710000;700123861108
720000;709852689232
730000;719569947141
740000;729418644413
750000;739181990573
760000;749176609616
770000;758903848870
780000;768650222029
790000;778497330587
800000;788278691267
810000;798090781052
820000;807999433874
830000;817716042220
840000;827422965599
850000;837209800192
860000;846980991946
870000;856673073108
880000;866475146712
890000;876358523728
900000;886731131103
910000;896514820506
920000;906251057370
930000;916055695977
940000;925776405401
950000;935662865773
960000;945476235181
970000;955230747666
980000;964984523542
990000;974738944978
1000000;984513459357
1010000;994407094094
1020000;1004076552326
1030000;1013811213997
1040000;1023565902176
1050000;1033346810531
1060000;1043103761868
1070000;1053127462195
1080000;1062975988184
1090000;1072867134883
1100000;1082668859554
1110000;1092434787462
1120000;1102119507286
1130000;1112076887786
1140000;1121852799320
1150000;1131592662998
1160000;1141328893210
1170000;1151062068646
1180000;1160785886478
1190000;1170803400440
1200000;1180600638958
1210000;1190333041739
1220000;1200087669355
1230000;1209828289087
1240000;1219579170865
1250000;1229547895323
1260000;1239187583250
1270000;1248948043040
1280000;1258713042733
1290000;1268461514624
1300000;1278176225325
1310000;1288056844293
1320000;1297730407160
1330000;1307457373276
1340000;1317184988976
1350000;1327021436347
1360000;1336949999828
1370000;1346923477115
1380000;1356640430254
1390000;1366387765891
1400000;1376052632212
1410000;1385824560601
1420000;1395560346054
1430000;1405337321827
1440000;1415230466173
1450000;1424917852789
1460000;1434641510729
1470000;1444437019057
1480000;1454182709964
1490000;1463940824660
1500000;1473865089206
1510000;1483757761983
1520000;1493500214729
1530000;1503399983384
1540000;1513120737005
1550000;1522884880669
1560000;1532742883200
1570000;1542461237800
1580000;1552197876605
1590000;1561910395141
1600000;1571656207133
1610000;1581371128895
1620000;1591272701731
1630000;1601017020510
1640000;1610827512926
1650000;1620540731934
1660000;1630283838407
1670000;1640052682968
1680000;1649973113490
1690000;1659991600535
1700000;1669820918214
1710000;1679605266158
1720000;1689323231394
1730000;1699123472343
1740000;1709011210014
1750000;1718665566662
1760000;1728369921355
1770000;1738105957919
1780000;1747812859325
1790000;1757686180233
1800000;1767687758943
1810000;1777492184278
1820000;1787237250772
1830000;1796977766836
1840000;1806717091293
1850000;1816446798748
1860000;1826220821827
1870000;1836043822422
1880000;1845749869542
1890000;1855500222993
1900000;1865253782696
1910000;1875008525015
1920000;1884773722194
1930000;1894702810783
1940000;1904480930372
1950000;1914228890497
1960000;1923924084827
1970000;1933714316146
1980000;1943494659862
1990000;1953622198024
