repetitions;time(ns)
10000;16130294590
20000;28535391263
30000;40895166437
40000;52978152542
50000;65081876766
60000;76478352580
70000;88965146147
80000;101306443892
90000;114795975453
100000;127893104888
110000;140317054955
120000;152681658315
130000;164877265841
140000;178008043104
150000;190422385080
160000;202554296425
170000;215252853392
180000;227814617117
190000;240125316178
200000;253273766188
210000;265916166161
220000;278341918401
230000;291047640676
240000;303417904534
250000;315907282872
260000;328555300049
270000;342120478406
280000;358045841340
290000;371400941006
300000;384508221435
310000;401889409987
320000;417909377465
330000;434842853267
340000;453183457959
350000;468188700030
360000;485487304286
370000;503524010595
380000;519933079848
390000;538400655287
400000;557602513601
410000;575597311389
420000;592950681351
430000;610120653332
440000;628310593457
450000;645741852822
460000;663573476874
470000;681565947374
480000;699153340386
490000;718896935311
