repetitions;time(ns)
10000;481609850
20000;893189836
30000;1512191493
40000;1796834588
50000;2044607671
60000;2239371821
70000;2449591163
80000;2653743077
90000;2846396140
100000;3035054716
110000;3226771277
120000;3411550958
130000;3595487205
140000;3789675634
150000;3977607388
160000;4174438649
170000;4363523100
180000;4551261848
190000;4735413402
200000;4921167357
210000;5120980667
220000;5320255232
230000;5510038479
240000;5703739460
250000;5893239933
260000;6076642080
270000;6267190479
280000;6452131880
290000;6638039321
300000;6823021469
310000;7016609008
320000;7205365186
330000;7396534842
340000;7601435805
350000;7791743060
360000;7986042158
370000;8174888468
380000;8360168051
390000;8545108239
400000;8726957882
410000;8912703744
420000;9101090809
430000;9283400387
440000;9463172977
450000;9648422218
460000;9905953573
470000;10091423256
480000;10279630119
490000;10471875788
500000;10719836507
510000;10903836621
520000;11085916442
530000;11269103000
540000;11448941453
550000;11634305499
560000;11821843235
570000;12012408136
580000;12202239598
590000;12413515372
600000;12612553637
610000;12790307720
620000;12975168497
630000;13182598355
640000;13376605475
650000;13568473691
660000;13756183630
670000;13947986024
680000;14132424684
690000;14318471010
700000;14502996128
710000;14688053684
720000;14874193903
730000;15064099302
740000;15252000531
750000;15438091609
760000;15622454787
770000;15806826208
780000;15987289454
790000;16172532039
800000;16357192378
810000;16538994583
820000;16724758277
830000;16906614989
840000;17091982986
850000;17280516638
860000;17467670976
870000;17658664278
880000;17845024505
890000;18035820702
900000;18231140041
910000;18427180462
920000;18616637476
930000;18796148648
940000;18975583244
950000;19161226744
960000;19343666230
970000;19523438688
980000;19703797004
990000;19888175530
1000000;20070765121
1010000;20271901834
1020000;20463628616
1030000;20655949837
1040000;20850825567
1050000;21043041512
1060000;21228646529
1070000;21413785831
1080000;21600477021
1090000;21787466416
1100000;21968263590
1110000;22157635301
1120000;22350110731
1130000;22543831077
1140000;22739855654
1150000;22931516876
1160000;23126447873
1170000;23313261529
1180000;23499911380
1190000;23684542011
1200000;23867097150
1210000;24052271727
1220000;24235135599
1230000;24419890656
1240000;24598647005
1250000;24781881475
1260000;24976827373
1270000;25173527697
1280000;25363751031
1290000;25556962050
1300000;25749582742
1310000;25932522225
1320000;26116431247
1330000;26302032616
1340000;26486771274
1350000;26666830384
1360000;26854483609
1370000;27044807952
1380000;27239663401
1390000;27430071681
1400000;27619095050
1410000;27805429286
1420000;27991940660
1430000;28180618931
1440000;28365330129
1450000;28548558042
1460000;28732132096
1470000;28914381598
1480000;29100411210
1490000;29286401097
1500000;29467343869
1510000;29643684372
1520000;29824530491
1530000;30013967138
1540000;30201570590
1550000;30386901797
1560000;30572257061
1570000;30757345030
1580000;30945832450
1590000;31144414023
1600000;31336131388
1610000;31526713020
1620000;31720146138
1630000;31913642461
1640000;32099473445
1650000;32282554924
1660000;32464266693
1670000;32649494234
1680000;32837296678
1690000;33027848019
1700000;33219611046
1710000;33413211490
1720000;33604254008
1730000;33793274749
1740000;33986589757
1750000;34171084568
1760000;34355745239
1770000;34535013889
1780000;34721372534
1790000;34905829883
1800000;35087586703
1810000;35274776714
1820000;35456104368
1830000;35638093970
1840000;35825769556
1850000;36008810734
1860000;36195620426
1870000;36377602721
1880000;36559258224
1890000;36748146199
1900000;36934239916
1910000;37120505813
1920000;37303439786
1930000;37485830108
1940000;37664510259
1950000;37847105729
1960000;38028478734
1970000;38213535184
1980000;38393407956
1990000;38584153039
