repetitions;time(ns)
10000;8278649900
20000;16313072500
30000;23265882300
40000;31313032200
50000;38346420900
60000;47615958300
70000;54950505800
80000;62478452800
90000;72020408700
100000;79526825200
110000;86895611800
120000;94419800800
130000;103964008900
140000;111614139400
150000;118915732500
160000;129806901300
170000;137136199200
180000;144806602000
190000;155103246900
200000;162936699000
210000;170769659200
220000;178502602100
230000;185716644800
240000;193350154800
250000;216236217500
260000;248218140100
270000;290704336500
280000;347431960900
